Drug,Class
Oritavancin, Glycopeptides
Orkambi,CFTR combinations
Orladeyo,Hereditary angioedema agents
Orlistat," GI Drugs, Miscellaneous"
Cholic Acid," GI Drugs, Miscellaneous"
"Orphenadrine, Aspirin, and Caffeine",Skeletal Muscle Relaxant
"Brompheniramine, Dextromethorphan, and Phenylephrine",Alkylamine Derivative
Avanafil, Phosphodiesterase Type 5 Inhibitors
Orphenadrine Aspirin Caffeine,Skeletal muscle relaxant combinations
Orphengesic Forte,Skeletal muscle relaxant combinations
Orsythia,Contraceptives
Ortho Evra,Contraceptives
Ortho Micronor,Contraceptives
Ortho Tri-Cyclen,Contraceptives
Ortho Tri-Cyclen Lo,Contraceptives
Ortho-Cept,Contraceptives
Ortho-Novum 777,Contraceptives
Orthoclone OKT3,Selective immunosuppressants
Avandamet,Antidiabetic combinations
Ortikos,Glucocorticoids
Orudis,Nonsteroidal anti-inflammatory drugs
Ketoprofen, Other Nonsteroidal Anti-inflammatory Agents
Midodrine, alpha-Adrenergic Agonists
BiCNU,Alkylating agents
BiDil,Miscellaneous antihypertensive combinations
Biaxin,Macrolides
Clarithromycin, Other Macrolides
Bicalutamide, Antineoplastic Agents
Bicillin C-R,Natural penicillins
Avandaryl,Antidiabetic combinations
Bicillin C-R 900/300,Natural penicillins
Bicillin LA,Natural penicillins
"Bictegravir, Emtricitabine, and Tenofovir Alafenamide", HIV Integrase Inhibitors
Acetic Acid, Irrigating Solutions
Bijuva,Sex hormone combinations
Biktarvy,Antiviral combinations
Biltricide,Anthelmintics
Bimatoprost, Prostaglandin Analogs
Binimetinib, Antineoplastic Agents
Binosto,Bisphosphonates
Avandia,Thiazolidinediones
Biothrax Vaccine,Bacterial vaccines
Biorphen,Vasopressors
Biperiden, Anticholinergic Agents
"Bismuth Subcitrate, Metronidazole, and Tetracycline","Antibiotic, Miscellaneous"
"Tetracycline, Bismuth Subsalicylate, and Metronidazole","Antibiotic, Miscellaneous"
Bisoprolol, beta-Adrenergic Blocking Agents
Bisoprolol and Hydrochlorothiazide,Antihypertensive
Bivalirudin, Direct Thrombin Inhibitors
Bivigam,Immune globulins
"Hydrocodone, Pseudoephedrine, and Guaifenesin",Antitussive/Decongestant/Expectorant
Avapritinib, Antineoplastic Agents
Guanfacine, Central alpha-Agonists
Guanidine,Cholinergic Agonist
Guselkumab," Skin and Mucous Membrane Agents, Miscellaneous"
Humalog,Insulin
Human Albumin Grifols,Plasma expanders
Choriogonadotropin Alfa, Gonadotropins and Antigonadotropins
Humate-P,Miscellaneous coagulation modifiers
Humatin,Amebicides
Humatrope,Growth hormones
Humira,Antirheumatics
Avapro,Angiotensin receptor blockers
Humulin 50/50,Insulin
Humulin 70/30,Insulin
Humulin N,Insulin
Humulin R,Insulin
Humulin R U-500,Insulin
QNASL Nasal Spray,Nasal steroids
Pneumococcal Conjugate Vaccine (13-Valent),Vaccine
Pneumococcal Polysaccharide Vaccine (23-Valent),Vaccine
Pneumovax 23,Bacterial vaccines
I-123 MIBG,Diagnostic radiopharmaceuticals
Sodium Sulfactamide and Sulfur Wash,Topical antibiotics
Iobenguane I 131, Antineoplastic Agents
Iodine," Local Anti-infectives, Miscellaneous"
Potassium Iodide and Iodine,"Antiseptic, Topical"
Sodium Iodide,"Trace Element, Parenteral"
Iodoquinol (Topical)," Local Anti-infectives, Miscellaneous"
Iodotope,Antithyroid agents
Ioflupane I 123,Radiopharmaceutical
Ionamin,Anorexiants
Ionsys,Narcotic analgesics
Iopidine,Ophthalmic glaucoma agents
Avar Cleansing Pads,Topical antibiotics
Iopromide,Iodinated Contrast Media
Omacetaxine, Antineoplastic Agents
Omacor,Nutraceutical products
Omadacycline, Aminomethylcyclines
Omalizumab," Respiratory Tract Agents, Miscellaneous"
"Ombitasvir, Paritaprevir, and Ritonavir","Antihepaciviral, NS3/4A Protease Inhibitor (Anti-HCV)"
"Ombitasvir, Paritaprevir, Ritonavir, and Dasabuvir","Antihepaciviral, NS3/4A Protease Inhibitor (Anti-HCV)"
Omeclamox-Pak,H. pylori eradication agents
Omeprazole, Proton-pump Inhibitors
Omeprazole and Sodium Bicarbonate,Proton Pump Inhibitor
Avar Cleanser,Topical antibiotics
"Omeprazole, Amoxicillin, and Rifabutin","Antibiotic, Penicillin"
"Omeprazole, Clarithromycin, and Amoxicillin","Antibiotic, Macrolide Combination"
Omidria,Ophthalmic surgical agents
Omnaris,Nasal steroids
Omnicef,Third generation cephalosporins
Omnipred,Ophthalmic steroids
Omniscan,Magnetic resonance imaging contrast media
Omnitrope,Growth hormones
Omontys,Recombinant human erythropoietins
Omtryg,Nutraceutical products
Avar LS Cleanser Emulsion,Topical antibiotics
Moban,Miscellaneous antipsychotic agents
Mobic,Nonsteroidal anti-inflammatory drugs
Modafinil, Wakefulness-promoting Agents
Moderiba,Purine nucleosides
Moderna COVID-19 Vaccine,Viral vaccines
Amiloride and Hydrochlorothiazide,Potassium sparing diuretics with thiazides
Moexipril, Angiotensin-Converting Enzyme Inhibitors
Moexipril and Hydrochlorothiazide,Angiotensin-Converting Enzyme (ACE) Inhibitor
Mogamulizumab-kpkc, Antineoplastic Agents
Molindone,First Generation (Typical) Antipsychotic
Phenylephrine (Ophthalmic),Alpha-Adrenergic Agonist 
Avar LS Cleanser,Topical antibiotics
Ammonium Molybdate Injection,Minerals and electrolytes
Mometasone, Adrenals
Mometasone (EENT), Corticosteroids
Mometasone (Topical), Corticosteroids
Mometasone and Formoterol,"Beta2 Agonist, Long-Acting"
Monistat 7 Combination Pack,Vaginal anti-infectives
Monistat 7 Cream,Vaginal anti-infectives
Monistat-Derm,Topical antifungals
Avastin,VEGF / VEGFR inhibitors
Monjuvi,Miscellaneous antineoplastics
Mono-Linyah,Contraceptives
Sodium Phosphates,Cathartic
Monoclate-P,Miscellaneous coagulation modifiers
Monodox,Miscellaneous antimalarials
Monoferric,Iron products
Monoket,Antianginal agents
Monomethyl Fumarate,Fumaric Acid Derivative
MonoNessa,Contraceptives
Mononine,Miscellaneous coagulation modifiers
Avatrombopag, Hematopoietic Agents
Monopril,Angiotensin Converting Enzyme Inhibitors
Monopril-HCT,ACE inhibitors with thiazides
Ferric Subsulfate Aqueous,Miscellaneous coagulation modifiers
Montelukast, Leukotriene Modifiers
Monurol,Miscellaneous antibiotics
Morphabond ER,Narcotic analgesics
Morphine and Naltrexone,"Analgesic, Opioid"
Motegrity,Serotoninergic neuroenteric modulators
Motofen,Antidiarrheals
Motrin,Nonsteroidal anti-inflammatory drugs
Aveed,Androgens and anabolic steroids
Motrin IB,Nonsteroidal anti-inflammatory drugs
Motrin PM,Analgesic combinations
Movantik,Peripheral opioid receptor antagonists
MoviPrep,Laxatives
Moxatag,Aminopenicillins
Moxetumomab Pasudotox-tdfk, Antineoplastic Agents
Moxeza,Ophthalmic anti-infectives
Moxidectin,Anthelmintic
Moxifloxacin (EENT), Antibacterials
Mozobil,Hematopoietic stem cell mobilizer
Avelox,Quinolones
Eylea,Anti-angiogenic ophthalmic agents
Eysuvis,Ophthalmic steroids
Jinteli,Contraceptives
Jivi,Miscellaneous coagulation modifiers
Ebola Zaire Vaccine (Live),Vaccine
R-Gene 10,In vivo diagnostic biologicals
Dacarbazine, Antineoplastic Agents
Qdolo Oral Solution,Narcotic analgesics
Clindamycin (Topical), Antibacterials
Avelox Injection,Quinolones
A-Methapred Injection,Glucocorticoids
Estradiol and Norethindrone Tablets,Sex hormone combinations
Amantadine, Adamantanes
Amaryl,Sulfonylureas
Ambien,"Miscellaneous anxiolytics, sedatives and hypnotics"
Ambien CR,"Miscellaneous anxiolytics, sedatives and hypnotics"
Ambrisentan, Vasodilating Agents
Amcinonide,"Corticosteroid, Topical"
Aminolevulinic Acid," Skin and Mucous Membrane Agents, Miscellaneous"
Ameluz Gel,Topical photochemotherapeutics
Moxifloxacin (Systemic), Quinolones
Amerge,Antimigraine agents
Amethia,Contraceptives
Amethia Lo,Contraceptives
Amethyst,Contraceptives
Amevive,Selective immunosuppressants
Amicar,Miscellaneous coagulation modifiers
Amifampridine, Other Miscellaneous Therapeutic Agents
Amifampridine Phosphate, Other Miscellaneous Therapeutic Agents
Amifostine, Protective Agents
Amikacin, Aminoglycosides
Avelumab, Antineoplastic Agents
Amikacin (Oral Inhalation),"Antibiotic, Aminoglycoside"
Amikin,Aminoglycosides
aMILoride, Potassium-sparing Diuretics
Amiloride and Hydrochlorothiazide,Antihypertensive
Amino Acid Injection,Intravenous Nutritional Therapy
Potassium P-Aminobenzoate,"Vitamin, Water Soluble"
Aminocaproic Acid, Hemostatics
Aminohippurate Sodium,Miscellaneous uncategorized agents
Aminophylline,"Phosphodiesterase Enzyme Inhibitor, Nonselective"
Nortriptyline, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Aminosalicylic Acid, Antituberculosis Agents
Pyridoxine, Vitamin B Complex
Amiodarone, Class III Antiarrhythmics
Amisulpride," Antiemetics, Miscellaneous"
Amitiza,Chloride channel activators
Amitriptyline and Chlordiazepoxide,"Antidepressant, Tricyclic (Tertiary Amine)"
Amitriptyline and Perphenazine,"Antidepressant, Tricyclic (Tertiary Amine)"
Amlodipine and Benazepril,ACE inhibitors with calcium channel blocking agents
amLODIPine, Dihydropyridines
Amlodipine and Atorvastatin,Antianginal Agent
Aviane 28,Contraceptives
Amlodipine and Olmesartan,Angiotensin II Receptor Blocker
Amlodipine and Benazepril,Angiotensin-Converting Enzyme (ACE) Inhibitor
Amlodipine and Celecoxib,"Analgesic, Nonopioid"
Perindopril and Amlodipine,Angiotensin-Converting Enzyme (ACE) Inhibitor
Amlodipine and Valsartan,Angiotensin II Receptor Blocker
"Amlodipine, Valsartan, and Hydrochlorothiazide",Angiotensin II Receptor Blocker
Ammonium Lactate,Topical emollients
Ammonul,Miscellaneous uncategorized agents
Amnesteem,Miscellaneous antineoplastics
Amoclan,Beta-lactamase inhibitors
Chlorpheniramine and Phenylephrine,Alkylamine Derivative
Levonorgestrel and Ethinyl Estradiol,Contraceptives
Amondys 45,Miscellaneous uncategorized agents
Amoxapine, Tricyclics and Other Norepinephrine-reuptake Inhibitors
Amoxil,Aminopenicillins
Amphadase,Miscellaneous uncategorized agents
Amphetamine,Central Nervous System Stimulant
Amphotericin B, Polyenes
Amphotericin B (Lipid Complex),"Antifungal Agent, Parenteral"
Amphotericin B (Liposomal),"Antifungal Agent, Parenteral"
Amphotericin B Cholesteryl Sulfate Complex,"Antifungal Agent, Parenteral"
Ampicillin/Sulbactam, Aminopenicillins
cefTAZidime/Avibactam, Third Generation Cephalosporins
Ampyra,Miscellaneous central nervous system agents
Amrix,Skeletal muscle relaxants
Amturnide,Miscellaneous antihypertensive combinations
Amyl Nitrite Inhalant,Antianginal agents
Amyvid Injection,Diagnostic radiopharmaceuticals
QTERN,Antidiabetic combinations
Niacor,Miscellaneous antihyperlipidemic agents
Niaspan,Miscellaneous antihyperlipidemic agents
Avinza,Narcotic analgesics
Nicardipine, Dihydropyridines
Nicorette,Smoking cessation agents
Nicotrol Inhaler,Smoking cessation agents
Nicotrol Inhalant,Smoking cessation agents
Nicotrol NS,Smoking cessation agents
Nifediac CC,Calcium channel blocking agents
Nifedical XL,Calcium channel blocking agents
Niferex,Iron products
Nifurtimox," Antiprotozoals, Miscellaneous"
Doxylamine, First Generation Antihistamines
Avita,Topical acne agents
Pitavastatin, HMG-CoA Reductase Inhibitors
Nikki,Contraceptives
Nilandron,Antiandrogens
Nilotinib, Antineoplastic Agents
Nilutamide, Antineoplastic Agents
Nimbex,Neuromuscular blocking agents
Nimodipine, Dihydropyridines
Nimotop,Calcium channel blocking agents
Ninlaro,Proteasome inhibitors
Nintedanib, Antifibrotic Agents
Avodart,5-alpha-reductase inhibitors
Nipent,Antibiotics / antineoplastics
Niphanoid,Local injectable anesthetics
Nipride RTU,Agents for hypertensive emergencies
Niraparib, Antineoplastic Agents
Niravam,Benzodiazepines
Nisoldipine, Dihydropyridines
Nithiodote,Antidotes
Nitisinone,4-Hydroxyphenylpyruvate Dioxygenase Inhibitor
Nitroglycerin (Topical)," Skin and Mucous Membrane Agents, Miscellaneous"
Nitric Oxide, Nitrates and Nitrites
Avonex,Interferons
Nitro-Bid,Antianginal agents
Nitro-Dur,Antianginal agents
Nitro-Time,Antianginal agents
NitroMist,Antianginal agents
Nitrofurantoin, Urinary Anti-infectives
Nitrolingual,Antianginal agents
Nitropress,Agents for hypertensive emergencies
Sodium Nitroprusside, Direct Vasodilators
Nitrostat,Antianginal agents
Nityr,Miscellaneous metabolic agents
Avycaz,Cephalosporins / beta-lactamase inhibitors
Nivestym Injection,Colony stimulating factors
Filgrastim, Hematopoietic Agents
Nivolumab, Antineoplastic Agents
Nix Shampoo,Topical anti-infectives
Nizatidine, Histamine H2-Antagonists
Nizoral,Azole antifungals
Eucrisa,Miscellaneous topical agents
Glyburide, Sulfonylureas
Eulexin,Antiandrogens
Eurax,Topical anti-infectives
Acetaminophen and Tramadol,Analgesic Combination (Opioid)
Euthyrox,Thyroid drugs
Aygestin,Contraceptives
Ayvakit,Multikinase inhibitors
Opana,Narcotic analgesics
Opana ER,Narcotic analgesics
Opcon-A Eye Drops,Ophthalmic antihistamines and decongestants
Opdivo,Anti-PD-1 monoclonal antibodies
Ophthetic,Ophthalmic anesthetics
Opicapone, Catechol-O-Methyltransferase (COMT) Inhibitors
Opium, Opiate Agonists
Risperidone, Atypical Antipsychotics
Oprelvekin, Hematopoietic Agents
Opsumit,Agents for pulmonary hypertension
Optimark,Magnetic resonance imaging contrast media
OptiPranolol,Ophthalmic glaucoma agents
Optison,Ultrasound contrast media
Optivar,Ophthalmic antihistamines and decongestants
Sodium Fluoride Chewable Tablets,Minerals and electrolytes
Revia,Antidotes
Rebetol,Inhaled anti-infectives
Rebif,Interferons
Levonorgestrel (IUD),Contraceptive
Interferon Beta-1a,Interferon
Rebinyn,Miscellaneous coagulation modifiers
Reblozyl,Miscellaneous erythropoiesis agents
Recarbrio,Carbapenems / beta-lactamase inhibitors
Benzphetamine,Anorexiants
Reclast,Bisphosphonates
Reclipsen,Contraceptives
Recombinate,Miscellaneous coagulation modifiers
Recothrom,Miscellaneous coagulation modifiers
Rectiv Ointment,Antianginal agents
Guaifenesin and Phenylephrine,Decongestant
Jadenu,Chelating agents
Refissa,Topical acne agents
Regadenoson, Cardiac Function
Regen-Cov,Antiviral combinations
Regitine,Miscellaneous cardiovascular agents
Reglan,GI stimulants
Regorafenib, Antineoplastic Agents
Regranex,Miscellaneous topical agents
Relafen,Nonsteroidal anti-inflammatory drugs
Deferasirox, Heavy Metal Antagonists
Relenza,Inhaled anti-infectives
Relexxii,CNS stimulants
Relistor,Peripheral opioid receptor antagonists
Relpax,Antimigraine agents
Ursodiol, Cholelitholytic Agents
Remdesivir, Nucleosides and Nucleotides
Remeron,Tetracyclic antidepressants
Mirtazapine," Antidepressants, Miscellaneous"
RemeronSolTab,Tetracyclic antidepressants
Remeven,Topical emollients
Jakafi,Multikinase inhibitors
Remicade,Antirheumatics
Remifentanil, Opiate Agonists
Remimazolam,Benzodiazepine
Remodulin,Agents for pulmonary hypertension
Chlorzoxazone, Centrally Acting Skeletal Muscle Relaxants
Renagel,Phosphate binders
Renflexis,TNF alfa inhibitors
Reno-30,Ionic iodinated contrast media
Reno-60,Ionic iodinated contrast media
Reno-Dip,Ionic iodinated contrast media
Jalyn,5-alpha-reductase inhibitors
Renova Cream,Topical acne agents
Renvela,Phosphate binders
ReoPro,Glycoprotein platelet inhibitors
Repaglinide, Meglitinides
Repaglinide and Metformin,"Antidiabetic Agent, Biguanide"
Repatha,PCSK9 inhibitors
Reprexain,Narcotic analgesic combinations
Repronex,Gonadotropins
Requip,Dopaminergic antiparkinsonism agents
Requip-XL,Dopaminergic antiparkinsonism agents
Covid-19 Vaccine Janssen,Viral vaccines
Rescriptor,NNRTIs
Rescula Ophthalmic Solution,Ophthalmic glaucoma agents
Reslizumab, Interleukin Antagonists
hydrOXYzine," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Restasis,Ophthalmic anti-inflammatory agents
Restoril,Benzodiazepines
Retacrit,Recombinant human erythropoietins
Retapamulin, Antibacterials
Retavase,Thrombolytics
Reteplase, Thrombolytic Agents
Jantoven,Coumarins and indandiones
Retevmo,Multikinase inhibitors
Retin-A,Topical acne agents
Retisert,Ophthalmic steroids
Retrovir,Nucleoside reverse transcriptase inhibitors (NRTIs)
Revatio,Agents for pulmonary hypertension
Revcovi Injection,Other immunostimulants
Elapegademase-lvlr, Enzymes
Revefenacin, Antimuscarinics/Antispasmodics
Nalmefene, Opiate Antagonists
Caffeine,Central Nervous System Stimulant
Janumet,Antidiabetic combinations
Revlimid,Miscellaneous antineoplastics
Revonto Injection,Skeletal muscle relaxants
Dantrolene, Direct-acting Skeletal Muscle Relaxants
Rexulti,Atypical antipsychotics
Reyataz,Protease inhibitors
Reyvow,Antimigraine agents
Rezipres,Vasopressors
Rezira,Upper respiratory combinations
Rezurock,Selective immunosuppressants
Asacol,5-aminosalicylates
Janumet XR,Antidiabetic combinations
Asacol HD,5-aminosalicylates
Pyrantel, Anthelmintics
Asceniv,Immune globulins
Asclera,Sclerosing agents
Polidocanol, Sclerosing Agents
Ascomp with Codeine,Narcotic analgesic combinations
Ascor Injection,Vitamins
Asfotase Alfa, Enzymes
Asmanex,Inhaled corticosteroids
Asmanex HFA,Inhaled corticosteroids
Januvia,Dipeptidyl peptidase 4 inhibitors
Asparlas,Miscellaneous antineoplastics
Aspirin and Dipyridamole,Antiplatelet Agent
Aspirin and Omeprazole,"Analgesic, Nonopioid"
Oxycodone and Aspirin,Analgesic Combination (Opioid)
"Butalbital, Aspirin, and Caffeine",Barbiturate
"Carisoprodol, Aspirin, and Codeine",Skeletal Muscle Relaxant
"Aspirin, Citric Acid, and Sodium Bicarbonate","Analgesic, Nonopioid"
Astagraf XL,Calcineurin inhibitors
Astelin,Nasal antihistamines and decongestants
Astepro,Nasal antihistamines and decongestants
Japanese Encephalitis Vaccine, Vaccines
Astramorph PF,Narcotic analgesics
Exalgo,Narcotic analgesics
Exelderm,Topical antifungals
Exelon,Cholinesterase inhibitors
Exemestane, Antiestrogens
Exenatide, Incretin Mimetics
Exforge,Angiotensin II inhibitors with calcium channel blockers
Exforge HCT,Miscellaneous antihypertensive combinations
Exjade,Chelating agents
Exondys 51,Miscellaneous uncategorized agents
Phenylephrine and Ketorolac,"Adrenergic Agonist Agent, Ophthalmic"
Jardiance,SGLT-2 inhibitors
Exservan,Miscellaneous central nervous system agents
Extavia,Interferons
Extina,Topical antifungals
Extraneal,Intravenous nutritional products
Exubera,Insulin
Podophyllum Resin," Skin and Mucous Membrane Agents, Miscellaneous"
Podocon-25,Topical keratolytics
Podofilox," Skin and Mucous Membrane Agents, Miscellaneous"
Dexchlorpheniramine,Antihistamines
Polatuzumab Vedotin-piiq, Antineoplastic Agents
Jasmiel,Contraceptives
Poliovirus Vaccine Inactivated, Vaccines
Polivy,Miscellaneous antineoplastics
Mepivacaine,Local injectable anesthetics
Bacitracin Polymyxin B,Ophthalmic anti-infectives
Polyethylene Glycol 3350,"Laxative, Osmotic"
Calcium Hydroxylapatite,"Cosmetic Agent, Implant"
"Polymyxin B (Systemic, Topical)", Polymyxins
Trimethoprim and Polymyxin B,"Antibiotic, Ophthalmic"
Sinecatechins," Skin and Mucous Membrane Agents, Miscellaneous"
Jatenzo,Androgens and anabolic steroids
Polytrim,Ophthalmic anti-infectives
Pomalidomide, Antineoplastic Agents
Pomalyst,Miscellaneous antineoplastics
Ponatinib, Antineoplastic Agents
Ponstel,Nonsteroidal anti-inflammatory drugs
Ponvory,Selective immunosuppressants
Porfimer,"Antineoplastic Agent, Miscellaneous"
Portrazza,EGFR inhibitors
Posaconazole, Azoles
Potassium Citrate,"Alkalinizing Agent, Oral"
Jay Phyl,Antiasthmatic combinations
Potassium Acetate,"Electrolyte Supplement, Parenteral"
Potassium Citrate-Citric Acid Crystals,Minerals and electrolytes
Potassium Phosphate,"Electrolyte Supplement, Parenteral"
Potassium Phosphate and Sodium Phosphate,"Electrolyte Supplement, Oral"
Potassium Bicarbonate and Potassium Chloride,"Electrolyte Supplement, Oral"
Potassium Chloride in Sodium Chloride,Minerals and electrolytes
Potassium Gluconate,"Electrolyte Supplement, Oral"
Poteligeo Injection,Miscellaneous antineoplastics
Potiga,Neuronal potassium channel openers
Povidone Iodine Solution,Antiseptic and germicides
Viadur,Gonadotropin releasing hormones
Viagra,Impotence agents
Vibativ,Glycopeptide antibiotics
Viberzi,Peripheral opioid receptor mixed agonists / antagonists
Vibramycin,Miscellaneous antimalarials
Vicodin,Narcotic analgesic combinations
Vicodin HP,Narcotic analgesic combinations
Vicoprofen,Narcotic analgesic combinations
Victoza,Incretin mimetics
Victrelis,Protease inhibitors
Cubicin,Miscellaneous antibiotics
Vidaza,Miscellaneous antineoplastics
Videx,Nucleoside reverse transcriptase inhibitors (NRTIs)
Videx EC,Nucleoside reverse transcriptase inhibitors (NRTIs)
Viekira Pak,Antiviral combinations
Viekira XR,Antiviral combinations
Vienva,Contraceptives
Vigamox,Ophthalmic anti-infectives
Viibryd,Miscellaneous antidepressants
Vilazodone, Serotonin Modulators
Viltepso,Miscellaneous uncategorized agents
Viltolarsen, Antisense Oligonucleotides
Vimizim,Lysosomal enzymes
Vimovo,Nonsteroidal anti-inflammatory drugs
Vimpat,Miscellaneous anticonvulsants
Vincasar PFS,Mitotic inhibitors
VinCRIStine (Liposomal),"Antineoplastic Agent, Antimicrotubular"
Clioquinol and Hydrocortisone,"Antibiotic, Topical"
Viokace,Digestive enzymes
Viorele,Contraceptives
Cuprimine,Antirheumatics
Vira-A,Ophthalmic anti-infectives
Viracept,Protease inhibitors
Viramune,NNRTIs
Nevirapine, HIV Nonnucleoside Reverse Transcriptase Inhibitors
Virasal,Topical keratolytics
Virazole,Inhaled anti-infectives
Viread,Nucleoside reverse transcriptase inhibitors (NRTIs)
Viroptic,Ophthalmic anti-infectives
Virti-Sulf Cream,Topical antibiotics
Visicol,Laxatives
Poractant Alfa, Pulmonary Surfactants
Visine L.R.,Ophthalmic antihistamines and decongestants
Visionblue,Ophthalmic diagnostic agents
Visipaque,Non-ionic iodinated contrast media
Visken,Non-cardioselective beta blockers
Vismodegib, Antineoplastic Agents
Vistaril,Antihistamines
Vistide,Purine nucleosides
Vistogard,Antidotes
Visudyne,Miscellaneous antineoplastics
Cyanocobalamin,Vitamins
Cutaquig,Immune globulins
Vitamin A, Vitamin A
Thiamine, Vitamin B Complex
Riboflavin, Vitamin B Complex
Vitazol,Topical anti-rosacea agents
Vitekta,Integrase strand transfer inhibitor
Vitrakvi,Multikinase inhibitors
Vitrase,Miscellaneous uncategorized agents
Vitrasert,Ophthalmic anti-infectives
Hydrocodone and Chlorpheniramine Solution,Upper respiratory combinations
Promethazine and Phenylephrine,Alpha-Adrenergic Agonist 
Cutivate,Topical steroids
Bupivacaine and Epinephrine Injection,Local injectable anesthetics
Vivactil,Tricyclic antidepressants
Vivaglobin,Immune globulins
Vivelle,Estrogens
Vivelle-Dot,Estrogens
Vivitrol,Drugs used in alcohol dependence
Vivlodex,Nonsteroidal anti-inflammatory drugs
Vivotif,Bacterial vaccines
Vizamyl,Diagnostic radiopharmaceuticals
Vizimpro,EGFR inhibitors
Cuvitru,Immune globulins
AK-FLUOR,Miscellaneous diagnostic dyes
AK-Pentolate,Mydriatics
AK-POLY-BAC,Ophthalmic anti-infectives
Akineton,Anticholinergic antiparkinson agents
Aklief Cream,Topical acne agents
Akne-mycin Ointment,Topical acne agents
Akovaz,Vasopressors
Akten Gel,Ophthalmic anesthetics
Akynzeo,Miscellaneous antiemetics
Fosnetupitant and Palonosetron,Antiemetic
Cuvposa,Anticholinergics / antispasmodics
Apadaz,Narcotic analgesic combinations
Apalutamide, Antineoplastic Agents
Apexicon,Topical steroids
ApexiCon E,Topical steroids
Apidra,Insulin
Apixaban, Direct Factor Xa Inhibitors
Aplenzin,Miscellaneous antidepressants
Hydrogen Peroxide 40%," Skin and Mucous Membrane Agents, Miscellaneous"
Aplisol,In vivo diagnostic biologicals
Isosorbide Dinitrate,Antianginal Agent
Qmiiz ODT,Nonsteroidal anti-inflammatory drugs
Apokyn,Dopaminergic antiparkinsonism agents
Apomorphine, Nonergot-derivative Dopamine Receptor Agonists
Apraclonidine," EENT Drugs, Miscellaneous"
Apremilast, Disease-modifying Antirheumatic Drugs
Aprepitant/Fosaprepitant, Neurokinin-1 Receptor Antagonists
Hydralazine and Hydrochlorothiazide,Miscellaneous antihypertensive combinations
Apresoline,Vasodilators
Apri,Contraceptives
Apriso,5-aminosalicylates
Aptensio XR,CNS stimulants
Meloxicam, Other Nonsteroidal Anti-inflammatory Agents
Aptiom,Dibenzazepine anticonvulsants
Aptivus,Protease inhibitors
DOXOrubicin, Antineoplastic Agents
DOBUTamine, Selective beta-1-Adrenergic Agonists
DocQLace Syrup,Laxatives
Docefrez,Mitotic inhibitors
Docetaxel, Antineoplastic Agents
Docosanol, Antivirals
Docusate,Stool Softener
Dofetilide, Class III Antiarrhythmics
Eravacycline, Fluorocyclines
Dojolvi,Oral nutritional supplements
Dolasetron, 5-HT3 Receptor Antagonists
Dolophine,Narcotic analgesics
Dolutegravir, HIV Integrase Inhibitors
Dolutegravir and Lamivudine, HIV Integrase Inhibitors
Dolutegravir and Rilpivirine, HIV Integrase Inhibitors
Donepezil, Parasympathomimetic (Cholinergic) Agents
Donnatal Elixir,Anticholinergics / antispasmodics
Doxapram, Respiratory and CNS Stimulants
Doptelet,Platelet-stimulating agents
Eraxis,Echinocandins
Doral Tablets,Benzodiazepines
Quazepam,Benzodiazepines
Doravirine, HIV Nonnucleoside Reverse Transcriptase Inhibitors
"Doravirine, Lamivudine, and Tenofovir Disoproxil", HIV Nonnucleoside Reverse Transcriptase Inhibitors
Doribax,Carbapenems
Doripenem, Carbapenems
Dornase Alfa, Mucolytic Agents
Doryx,Miscellaneous antimalarials
Dorzolamide and Timolol Ophthalmic Solution,Ophthalmic glaucoma agents
Dorzolamide and Timolol,"Beta-Adrenergic Blocker, Nonselective"
Erbitux,EGFR inhibitors
Dostinex,Prolactin inhibitors
Dotarem,Magnetic resonance imaging contrast media
Dovato,Antiviral combinations
Dovonex Cream,Topical antipsoriatics
Dovonex Ointment,Topical antipsoriatics
Doxazosin, alpha-Adrenergic Blocking Agents
Doxepin (Systemic), Tricyclics and Other Norepinephrine-reuptake Inhibitors
Doxepin (Topical), Antipruritics and Local Anesthetics
Doxercalciferol, Vitamin D
DOXOrubicin (Liposomal),"Antineoplastic Agent, Anthracycline"
Erdafitinib, Antineoplastic Agents
Doxycycline (EENT), Antibacterials
Doxylamine and Pyridoxine,Miscellaneous antiemetics
Fabior Foam,Topical acne agents
Tazarotene," Skin and Mucous Membrane Agents, Miscellaneous"
Fabrazyme,Lysosomal enzymes
Factive,Quinolones
"Factor IX (Human), Factor IX Complex (Human)", Hemostatics
Factor IX (Recombinant), Hemostatics
"Factor IX (Recombinant), Fc fusion protein", Hemostatics
"Factor IX (Recombinant), albumin fusion protein", Hemostatics
Etanercept, Disease-modifying Antirheumatic Drugs
"Factor IX Complex (Human) [(Factors II, IX, X)]",Antihemophilic Agent
Factor X (Human), Hemostatics
Factor XIII, Hemostatics
Factor XIII A-Subunit (Recombinant), Hemostatics
"Factor Xa (recombinant), Inactivated-zhzo"," Antihemorrhagic Agents, Miscellaneous"
Falmina,Contraceptives
Fam-Trastuzumab Deruxtecan-nxki, Antineoplastic Agents
Famciclovir, Nucleosides and Nucleotides
Ibuprofen and Famotidine,"Analgesic, Nonopioid"
Famvir,Purine nucleosides
Phenylephrine (Nasal),Alpha-Adrenergic Agonist 
